title,image_url,difficulty,timecost,ingredient,cookstep
집에서도 쉽게 찰떡과 조청으로 만든 꿀떡 만드는법,https://recipe1.ezmember.co.kr/cache/recipe/2022/02/17/1f40ef46386de280a5d80601d0d39ae01.jpg,중급,2시간 이상,찹쌀>천일염>설탕>,"① 찹쌀 500g부터 씻고 불려주겠습니다
찹쌀 500g
찹쌀을 씻을 때는 물을 좀 붓고
살살 문질러가면서 깨끗이 씻으면 되고
한 세번정도 반복해서 씻어주시면 됩니다
그리고 깨끗이 씻은 찹쌀은 물에 두 시간
불려서 준비해주시면 됩니다>② 찹쌀 곱게 갈고 채 쳐주기 
두 시간 정도 불려 놓은 찹쌀을
분쇄기에 갈아줍니다 찹쌀을 너무
불려도 엉겨 붙어서 잘 안 갈립니다
양도 작고 그러니까 딱 2 시간만
불려서 갈아주세요 찹쌀을 불려서
해도 한 번에 다 안 갈아집니다
중간에 한 번 찹쌀을 뒤집어 준
다음 갈아줍니다 그래야지 찹쌀이
곱게 잘 갈아집니다
찹쌀 양이 적으니 세 번정도
반복해서 갈아줍니다
찹쌀을 분쇄기에 곱게 갈아도 
덜 갈린 찹쌀가루가 많이 나옵니다
이렇게 덜 갈린 찹쌀 가루
우선 채에 밭친 다음 여러번
채에 쳐서 곱게 만들어
주시면 됩니다 그래야지
떡이 찰지고 맛이 더 좋아집니다 
그리고 채에도 안 쳐지는 것은
분쇄기에 넣고 다시 갈아서
준비 해주시면 됩니다>③ 찹쌀 가루 간을 해준 후 쪄주기
천일염 ¼ 큰술
설탕 2 큰술
다 갈아진 찹쌀은 이제 간을
해줘야 됩니다 간을 해야 더 맛있으니까요
천일염 ¼ 큰술을 넣고 방부제 역할을 
하는 설탕 2 큰술을 넣어줍니다 
소금이 안 녹을 수 있으니까 많이 
섞어주시면 됩니다 그런 다음 
찹쌀 가루를 손에 쥐어 보고 
손에 쥐어 지면 물 양이 맞아서 
더 안 넣어도 됩니다 손에 안 쥐어 
지면 물양이 부족하다는 뜻이거든요 
그 때는 물을 부어가면서 조절해
주시면 됩니다 찹쌀이 찰져서 
면 보자기에 들러 붙을 수가 있습니다 
이럴 때는 물을 적신 다음 깔아 주시면 
됩니다 찹쌀 가루를 찜솥에 깔아주세요
양이 적어서 10분만 찌면 됩니다
그럼 뚜껑을 닫고 찜솥에 쪄주시면 
되는데 요즘은 찜솥이 잘 나와서
밀가루로 빙 안 둘러 줘도 됩니다
참고해주세요>④ 찰떡은 찐 다음 완성
센불에 찰떡을 10분간 쪘습니다 
뚜껑을 열고 떡이 익었는지 확인해
보겠습니다 젓가락으로 떡을 찔러서 
하얀 가루가 안 올라오면 다 익었다는 
신호입니다 찔러서 하얀 가루가 
안 올라오면 한 5분만 더 쪄주시면 
됩니다 다 익은 찰떡은 5분만 뜸을 
들여줍니다 뜸을 들인 다음 먹어야 
더 찰지고 좋습니다
뜸을 들인 찰떡은 식힌 다음 모양을 
내줍니다 그리고 면 보자기에 물을 
적신 다음 깔아야지 찰떡이 한 번에 
옮겨집니다 
옮겨서 식힌 찰떡을 절구에 넣고 
방망이로 두드려주면 더욱 찰지고 
맛도 좋아집니다 굳이 방망이로 
두드리지 않고 손으로 펴서 모양을 
내주셔도 됩니다
자를 때는 찰떡이 달라붙지 않게 
참기름을 둘러주세요 방망이로 펴도 
되지만 손으로 일일이 펴보겠습니다 
예쁘게 모양을 내실 때는 방망이를 
추천 드립니다 먹기 좋게 네모나게 
펴주시면 됩니다
자르실 칼에도 참기름을 둘러 주세요 
그래야 찰떡이 달라 붙지 않아 편합니다 
우선 자르기 편하게 세로로 잘라주시면 
됩니다 다 자르고 나면 먹기 좋게 찰떡을
펴줍니다 얇게 펴주셔야지 맛도 좋고 
보기도 좋습니다
찰떡을 한 입에 먹기 좋게 가로로 
자른 다음 다시 네모나게 잘라서 
찰떡을 펴줍니다 그런 다음 찰떡에 
조청이나 꿀을 발라줍니다 
저희가 발라 준 조청은 사과 조청입니다
식성에 따라 꿀이나 흑설탕 녹인 물을
발라주셔도 됩니다 
찰떡 양은 적게해서 자주 해서 
드시면 좋습니다 그럼 예전에 
먹었던 꿀떡이 생각나서
옛날 꿀떡이랑 비슷하게 
만들어봤습니다 그러니 
시간 나실 때 꼭 한 번 해서 
드셔보세요 옛날맛이 나서 
참 좋습니다 추천드립니다 
옛날 맛나는 꿀떡을 시청해주셔서 
감사합니다 영상이 도움이 되셨다면 
구독과 좋아요 부탁드려요>"
참외 샐러드 소스 추천 소금코지로 만든 저염식단,https://recipe1.ezmember.co.kr/cache/recipe/2022/04/20/238a7e01e5aa8d135d758f00c4f355e21.jpg,아무나,15분 이내,참외>올리브유>식초>소금코지>후추>,"샐러드 소스를 먼저 만들겠습니다. >샐러드 소스에 술지게미 식초를 사용했는데요. 저희가 만든 식초라 자극적이지 않고 상큼한 맛이 더 나기 때문에 사용했습니다. 대신에 레몬즙이나 라임즙, 발사믹 식초를 사용하셔도 됩니다.>샐러드 소스에 소금코지를 사용했어요. 소금코지가 없으시면 일반 소금으로 간을 맞추세요. 소금코지는 약간의 단맛과 감칠맛이 있어서 설탕을 넣지 않았어요. 그래서 저염식단을 하시는 분들께 좋아요.>후추는 통후추를 사용하셔도 됩니다.>샐러드 소스를 잘 섞어 두세요. 참외랑 드시지 않아도 다른 채소들과 먹어도 맛있어요.>참외는 반을 잘라>속을 파 둡니다.>참외는 최대한 얇게 썰어 주세요. 참외 샐러드용으로 작은 참외를 사용해서 껍질째 사용했고요. 큰 참외를 사용하시면 껍질을 벗기셔도 됩니다.>접시에 참외를 가지런히 담았어요.>위에 샐러드 소스를 뿌립니다.>마지막으로 허브가루를 뿌렸는데요. 허브가루가 없으면 생략하셔도 됩니다.>"
참치요리 간단하고 맛있는 참치마요덥밥 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2022/05/07/fac4d9cab60cf725c4b95b7dbee30c541.jpg,아무나,30분 이내,캔참치>밥>달걀>양파>대파>단무지>소금>마요네즈>후추>김가루>다진마늘>진간장>맛술>올리고당>물>,"참치는 체에 받쳐 기름을 빼줍니다.>마요네즈 1~2큰술과 후추를 넣고 골고루 섞어줍니다.촉촉하게 먹고 싶어서 2큰술을 넣어줬는데 기호에 따라 원하는 양을 넣고 섞어주세요.>양파는 채 썰어주고 단무지와 대파는 잘게 썰어 준비해 줍니다.>달걀은 잘 풀어준 뒤 체에 걸러 알끈을 제거하고 소금 한꼬집을 넣어준 뒤 잘 섞어줍니다.>팬에 기름을 두르고 약불에 달궈준 뒤 달걀물을 부어 젓가락을 이용해 한 방향으로 저어 스크램블을 만들어 줍니다.>팬을 닦아준 뒤 기름을 두르고 다진마늘을 넣고 먼저 볶고 채 썰어놓은 양파를 넣고 살짝 투명해 질때까지 볶아줍니다.다진마늘을 넣으면 소스의 풍미가 좋아져요.>그 위로 진간장, 맛술, 올리고당 or 물엿, 물을 넣어줍니다.>양념을 잘 섞어준 뒤 양파에 잘 베일 수 있도록 졸여서 덮밥소스를 만들어 줍니다.>준비한 그릇에 밥 1공기를 담아준 뒤 스크램블을 가장자리에 빙 둘러서 놓아줍니다. >밥 위에 졸여준 양파소스를 올려주고 그 위에 참치마요와 단무지, 대파를 올려줍니다.>지퍼백이나 짤주머니에 마요네즈를 넣은 뒤 구멍을 작게 뚫어 얇게 데코해주고 김가루를 올려 마무리하면 참치마요덮밥이 완성됩니다.>"
정말 맛있는 가지덮밥 만들기/가지요리/돼지고기 가지덮밥,https://recipe1.ezmember.co.kr/cache/recipe/2022/04/02/cf15f2691f05fd9511165b950fcdb7471.jpg,중급,90분 이내,가지>다진돼지고기>양송이버섯>청양고추>꽈리고추>대파>청경채>마늘>부침가루>간장>굴소스>매실청>다진마늘>후춧가루>식용유>소금>통깨>밥>,"가지덮밥 2인분 기준으로 가지2개를 준비해보았다>가지를 먹기 좋은 크기로 잘라준다>양송이버섯3개를 얇게 채썰어준다>청양고추2개는 다져준다
꽈리고추8개를 2~3cm크기로 잘라준다>청경채2~4포기의 밑동을 잘라준다>대파1대를 잘게 다져준다>가지덮밥에 들어가는 채소들이 준비되었다
마늘1개를 채썰어 편마늘도 조금 준비한다>비닐봉지에 부침가루2T,가지를 넣은 후 봉지를 흔들어서 가지에 부침가루 옷을 입혀준다>웍에 기름을 두르고 가지를 튀기듯 구워준다
소금도 솔솔 뿌려준다>노릇노릇 바삭바삭하게 가지가 익으면 가지덮밥에 들어가는 가지는 완성이다>이제 가지덥밥 소스를 만들어보자
간장4T,굴소스1.5T,매실청1T,다진마늘0.5T,후춧가루를 섞어준다>웍에 기름을 두르고 다진돼지고기,청양고추,꽈리고추,가지덮밥소스를 넣고 볶아준다
생다진대파1/3은 남겨놓고 다진대파2/3만 넣고 볶아준다>다진돼지고기가 어느정도 익도록 볶아준다>청경채,양송이버섯을 넣고 함께 볶아준다>편마늘도 조금 넣고 볶아준다>가지덮밥 소스 준비완료!>그릇에 흰 쌀밥을 넣고 튀긴 가지를 올려준다>그 다음 가지덮밥 소스를 부어준다>생다진대파를 조금 올려준다
통깨를 솔솔 뿌려주면 가지덮밥 완성이에요!!>다양한 재료가 들어가서 더욱 맛있답니다
가지,다진돼지고기,청양고추,꽈리고추,양송이버섯,대파,청경채,편마늘 등 재료가 들어가서 조화로운 맛이 나요~~>한그릇요리로 가지덮밥 정말 맛있어요♡
순식간에 다 먹게 되더라구요>돼지고기 가지덮밥 다음에도 또 요리해서 먹어야겠어요!
맛있는 가지요리 가지덮밥 레시피였습니다@.@>"
보울 한개로 초콜릿쿠키 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2022/02/16/8e34b759f6386912756c9a0f9d2255f91.jpg,초급,120분 이내,버터>초콜릿>설탕>소금>우유>노른자>밀가루>,"보통은 버터 상온에두고 크림화 시켜야 하는데 아기가 곧 치댈시간이라 중탕으로 쭉 진행할거에요>초콜릿도 같이 때려놓고 녹여요>설탕 또는 나한과 넣어주고 섞어요 중탕불 끄시고 이제 차가운 우유 50ml 넣어주세요>뜨거우면 안돼요, 식은반죽에 계란 노른자 1개>박력분 체쳐서 넣어주시고 섞어요>어느정도 섞이면 손으로 한덩어리로 뭉쳐요>뭉쳐졌으면 길게 굴려주세요>저는 아기 낮잠자는동안 냉장고에서 쉬게 해줍니다. 
구울준비되면 오븐 170도 예열오븐>낮잠을 깼으니, 휴식중인 반죽도 깨워주세요>적당한 크기로 잘라서
170도에 15분 구워줍시다요>식힘망에 식혀주세요>완성, 우유랑 맛있게 드세요 ^^>"
비빔밥재료 애호박나물 애호박볶음 아삭거리게 볶는 방법,https://recipe1.ezmember.co.kr/cache/recipe/2022/02/25/e2580ad43849cdc9f5f12a47f0bd3e901.jpg,아무나,20분 이내,애호박>다진마늘>소금>참기름>식용유>,"호박은 0.5cm 정도 두께로 자른 후 편하게 채썰어주세요.
>너무 얇게 자르면 볶은 후 물러질 수 있어요.
적당히 도톰하게 잘라주세요.
>팬에 오일이나 들기름을 살짝 두른 후 다진 마늘 0.5큰술과 소금 0.5큰술을 넣고 센불에서 빠르게 볶아 줍니다.
센불에서 빠르게 볶아줘야 물기가 생기지 않아요.>2-3분 정도 빠르게 볶은 후 불을 끄고 참기름 살짝 둘러주면 완성입니다.
>너무 오래 볶으면 금방 물러지고 물이 생겨요.
센불에서 빠르게 볶아줘야 호박의 색감도 예쁘고, 식감도 좋아요.
>"
<단호박요리> 단호박 찜빵 단호박 찐빵 단호박빵,https://recipe1.ezmember.co.kr/cache/recipe/2022/03/12/9db5862fc2e6bfded1eaf462fe8005781.jpg,중급,30분 이내,단호박>밀가루>달걀>베이킹>소금>설탕>우유>식용유>,"속을 파낸 단호박 200g은 껍질채 
깨끗이 씻어서 손톱크기정도로 작게
잘라 주세요.단호박칼,도마껍질채 씻어 주세요.>끓는 물에 단호박을 넣어서 2분정도 
데친후, 건져서 체에 받쳐 물기를
제거해 주세요.단호박냄비,체중불살짝 데쳐 주세요.>박력분 200g,소금 1ts, 베이킹파우더 2ts
을 볼에 담아서 골고루 섞은 후에 세번 
정도 체를 쳐 주세요.박력분, 소금, 베이킹파우더볼,체두 세번 체를 쳐 주세요.>볼에 달걀 3,,설탕 150g를 담은후에,
옅은 미색이 나도록 휘핑해 주세요.달걀, 설탕볼, 휘핑기한 방향으로 휘핑해 주세요.>이어서 우유 종이컵 반컵(100ml),
식용유나 포도씨유 4Ts을 넣어 골고루
섞어 주세요.우유,식용유볼,휘핑기잘 섞이도록 저어 주세요.>체친 가루를 넣어서 살살 섞어 주세요.채친 박력분, 소금, 베이킹파우더볼,베이킹주걱가루가섞이도록 살살 섞어 주세요. >이어서, 데친 단호박을 넣어서 섞어 주면
반죽 준비가 다 되었네요.데친 단호박볼, 베이킹 주걱골고루 섞어 주세요.>1.머핀틀에 종이 호일을 깔고 반죽을 
8부 정도로 담아 주세요.
2.찜기에 물을 넣고 물아 끓어서 김이 나기
시작하면,빵반죽을 담고 면보나,종이호일을 위에 덮은 후에 뚜껑을 덮어서 18분정도 쪄 주세요.단호박 빵반죽찜기,면보나 종이호일중불찔때 뚜껑에서 물방울이 빵반죽에 떨어지자 않도록 면보를 덮어 주세요.>불을 끄면,식힘망에서 식히면,
맛있는 단호박 찐빵이 만들어 졌네요.단호박 짠빵>몸에도 좋은 단호박을 가지고 그리 달지않는 건강한 빵…단호박 스팀빵을 
만들어 보세요.>"
쫄깃쫄깃 밥도둑 느타리버섯조림 구운가지조림 한번에 만들기 - 여름 밑반찬,https://recipe1.ezmember.co.kr/cache/recipe/2022/06/03/6a76215214814db44740476edd9cd5671.jpg,초급,30분 이내,가지>느타리버섯>마늘>홍고추>진간장>굴소스>들기름>참깨>고춧가루>맛술>올리고당>참기름>후추>다진쪽파>,"가지 2개 준비했어요.
깨끗이 씻은 가지는 2센치 두께로 썰어주세요.
제가 사용한 가지는 크기가 많이 큼지막한거랍니다.>중약불에서 후라이팬에 기름 두르지말고 가지를 넣은후 앞뒤로 노릇노릇하게 구워주세요.후라이팬중약불>느타리버섯은 밑둥을 잘라내고 가닥을 떼어준 후 찬물에 한 번 헹구어주세요.
씻은 버섯은 두손으로 물기를 짜주었어요.
버섯은 안씻어도 되지만 저는 한 번 가볍게 헹구어 주었답니다.>홍고추는 송송 썰고 마늘은 통마늘로 준비했어요.>중불에서 궁중팬에 들기름 2큰술 두르고 마늘, 홍고추 넣고 마늘이 노릇노릇해지도록 2분간 볶아주세요.궁중팬중불>불을 끄고 분량의 양념 넣어주세요.진간장 2큰술, 굴소스 1큰술, 고추가루 1/2큰술, 맛술 2큰술, 올리고당 2큰술 >중불에서 가지와 느타리버섯을 넣고 1분간 볶아줍니다.중불>불을 끄고 분량의 양념 넣어주세요.참깨 1큰술, 참기름 1큰술, 후추 톡톡, 다진쪽파 1큰술불 끄기>센불에서 휘리릭 섞어주고 불을 끕니다.
가지는 이미 구워서 익힌거라서 딱 10초 정도 섞어준 후 불을 끕니다.센불>가지조림을 접시에 담고 소스를 끼얹어주세요.>구운가지를 살짝만 졸여주어서 쫄깃하면서도 부드러운 맛이 아주 좋아요.
느타리버섯 대신 표고버섯이나 새송이버섯 등등 넣으셔도 맛있답니다.>"
"숙주대패삼겹살팽이버섯볶음~초간단,초스피드메인반찬",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/689637c6dde5f19328b41e204ca770bd1.jpg,아무나,15분 이내,냉동대패삼겹살>숙주>대파>팽이버섯>다진마늘>고추가루>후추가루>참기름>통깨>,"냉동대패삼겹살을 준비해주시고 숙주는 깨끗하게 씻어 물기를 빼주시고 대파는 얇게 채를 썰어주고 팽이버섯은 밑둥치를 잘라 붙어있는것을 떼어내주세요>시판용 돼지갈비양념장을 준비해주세요>큰궁중팬에 냉동대패삼겹살을 넣어 볶아주시면서 돼지갈비양념장을 3큰술,다진마늘,후추가루를 먼저 넣고 볶아주시다가>대패삼겹살이 거의 익을무렵 숙주와 파채를 넣어 잘 섞어주시고>그위에 돼지갈비양념장을 3큰술을 더 넣어주신후 숙주가 익으면 
*국물의간을 보시고 취향껏 짠맛이나 단맛을 추가하세요>팽이버섯을 넣고 그위에 고추가루를 뿌려주신후 잘 섞어가면서 볶아주세요
1~2분만 휘리릭 볶아주시면 되세요
*처음부터 끝까지 센불에서 조리하시면 되세요>가스불을 꺼주시고 참기름과 통깨를 뿌려주시면 완성이네요>"
버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/25/39ac1e73e998e88da300d38663242f0a1.jpg,아무나,15분 이내,새송이버섯>버터>어린잎채소>간장>맛술>올리고당>,"버섯의 밑동과 갓을 잘라낸 뒤, 3~4등분 한다>자른버섯의 양면에 칼집을 낸다>팬에 버터를 녹인다>버섯을 굽는다>불을 약불로 줄이고 소스를 넣고 졸인다>"
