"(0, 0.8748694658279419)","(418, 0.8406912684440613)","(1675, 0.8319164514541626)","(1237, 0.815899133682251)","(1955, 0.8156653046607971)"
"(376, 0.8810127973556519)","(93, 0.8749634027481079)","(1, 0.8720362782478333)","(790, 0.8491466641426086)","(1135, 0.830842912197113)"
"(1076, 0.8930355906486511)","(2, 0.8888266682624817)","(1698, 0.873946487903595)","(1198, 0.8697807788848877)","(369, 0.8665285110473633)"
"(3, 0.8920297622680664)","(1319, 0.8348617553710938)","(775, 0.815420389175415)","(267, 0.8110112547874451)","(734, 0.8066068887710571)"
"(200, 0.9571985006332397)","(455, 0.9515790939331055)","(1425, 0.9440563917160034)","(1031, 0.943497896194458)","(534, 0.9434413909912109)"
"(5, 0.8274115324020386)","(594, 0.7549511194229126)","(688, 0.7443397045135498)","(1831, 0.7388001680374146)","(465, 0.735037088394165)"
"(6, 0.9559177160263062)","(1713, 0.9308158159255981)","(1345, 0.9278846979141235)","(1838, 0.9252249598503113)","(1825, 0.9248166680335999)"
"(7, 0.901237428188324)","(1835, 0.8857866525650024)","(124, 0.8852699398994446)","(165, 0.8811972141265869)","(12, 0.8778057098388672)"
"(1707, 0.8622050285339355)","(1497, 0.8550127148628235)","(51, 0.845971941947937)","(1952, 0.841687798500061)","(1609, 0.8411455750465393)"
"(9, 0.8484029769897461)","(1683, 0.8269021511077881)","(1561, 0.8122832775115967)","(640, 0.8052346110343933)","(195, 0.8051685094833374)"
"(1767, 0.8317856788635254)","(1502, 0.8241199851036072)","(489, 0.816785991191864)","(1777, 0.807400643825531)","(36, 0.8073457479476929)"
"(1026, 0.9213787317276001)","(851, 0.8740231394767761)","(11, 0.8431179523468018)","(951, 0.8412619233131409)","(867, 0.8246861696243286)"
"(176, 0.849430501461029)","(12, 0.845064640045166)","(180, 0.8202210068702698)","(1304, 0.7956953644752502)","(1758, 0.7938079833984375)"
"(13, 0.9031529426574707)","(248, 0.8962309956550598)","(1445, 0.8837323188781738)","(220, 0.8654618263244629)","(727, 0.8471405506134033)"
"(1503, 0.8403958678245544)","(460, 0.8144789934158325)","(14, 0.7826187610626221)","(452, 0.7723827958106995)","(403, 0.76361083984375)"
"(15, 0.8850466012954712)","(333, 0.8607763051986694)","(339, 0.8322845697402954)","(1039, 0.8191407918930054)","(238, 0.8103262186050415)"
